ID,4Q,annotator
Q1_0vLPYiPN7qY_0,1,D
Q1_0vLPYiPN7qY_1,1,D
Q1_0vLPYiPN7qY_2,1,D
Q1_1Qc15G0ZHIg_1,1,D
Q1_1Qc15G0ZHIg_2,1,D
Q1_1Qc15G0ZHIg_3,1,D
Q1_1vjy9oMFa8c_2,1,D
Q1_1vjy9oMFa8c_4,1,D
Q1_1vjy9oMFa8c_5,1,D
Q1_2Z9SjI131jA_0,1,C
Q1_2Z9SjI131jA_1,1,C
Q1_2Z9SjI131jA_10,1,C
Q1_2Z9SjI131jA_11,1,C
Q1_2Z9SjI131jA_12,1,C
Q1_2Z9SjI131jA_13,1,C
Q1_2Z9SjI131jA_14,1,C
Q1_2Z9SjI131jA_15,1,C
Q1_2Z9SjI131jA_2,1,C
Q1_2Z9SjI131jA_3,1,C
Q1_2Z9SjI131jA_4,1,C
Q1_2Z9SjI131jA_7,1,C
Q1_2Z9SjI131jA_8,1,C
Q1_2Z9SjI131jA_9,1,C
Q1_3N2G21U7guk_3,1,D
Q1_3N2G21U7guk_5,1,D
Q1_3N2G21U7guk_6,1,D
Q1_3ahg_eQZhxs_0,1,D
Q1_3ahg_eQZhxs_1,1,D
Q1_4dXC1cC7crw_0,1,D
Q1_4dXC1cC7crw_1,1,D
Q1_4ydjOX3pWds_0,1,D
Q1_4ydjOX3pWds_1,1,D
Q1_5Ju9q1N2x0E_2,1,D
Q1_5NW0zDu6IYM_2,1,D
Q1_60LLKmpgzRM_0,1,D
Q1_6Uf9XBUD3wE_0,1,D
Q1_6Uf9XBUD3wE_1,1,D
Q1_6kRPHamGDSo_0,1,D
Q1_6kRPHamGDSo_1,1,D
Q1_6kRPHamGDSo_3,1,D
Q1_6wFJhmhNeeg_0,1,A
Q1_7yW9c7t8Hq0_1,1,D
Q1_7yW9c7t8Hq0_2,1,D
Q1_7yW9c7t8Hq0_3,1,D
Q1_8izVTDgBQPc_0,1,D
Q1_8izVTDgBQPc_1,1,D
Q1_8rupdevqfuI_0,1,D
Q1_8rupdevqfuI_1,1,D
Q1_8rupdevqfuI_2,1,D
Q1_94ROf10d1iA_0,1,D
Q1_94ROf10d1iA_1,1,D
Q1_94ROf10d1iA_2,1,D
Q1_94ROf10d1iA_3,1,D
Q1_9Yb9OEVwups_0,1,D
Q1_9v2WSpn4FCw_0,1,A
Q1_9v2WSpn4FCw_1,1,A
Q1_9v2WSpn4FCw_10,1,A
Q1_9v2WSpn4FCw_2,1,A
Q1_9v2WSpn4FCw_5,1,A
Q1_9v2WSpn4FCw_6,1,A
Q1_ANZf1QXsNrY_0,1,D
Q1_ANZf1QXsNrY_1,1,D
Q1_ANZf1QXsNrY_2,1,D
Q1_ANZf1QXsNrY_3,1,D
Q1_ANZf1QXsNrY_4,1,D
Q1_ANZf1QXsNrY_5,1,D
Q1_BGf5nCdzPOc_0,1,D
Q1_BGf5nCdzPOc_1,1,D
Q1_Cg2u_Ldjv8g_0,1,D
Q1_Cg2u_Ldjv8g_1,1,D
Q1_DX1IK3z1w10_1,1,A
Q1_Fc1qk52SaKY_0,1,D
Q1_Fc1qk52SaKY_1,1,D
Q1_FfwKrQyQ7WU_0,1,D
Q1_FfwKrQyQ7WU_1,1,D
Q1_FfwKrQyQ7WU_2,1,D
Q1_FfwKrQyQ7WU_3,1,D
Q1_GY3f6ckBVkA_0,1,D
Q1_GY3f6ckBVkA_1,1,D
Q1_GY3f6ckBVkA_2,1,D
Q1_GY3f6ckBVkA_3,1,D
Q1_GbUV3TXUzeQ_1,1,A
Q1_GbUV3TXUzeQ_2,1,A
Q1_HY9vPoHbgaI_0,1,D
Q1_HY9vPoHbgaI_1,1,D
Q1_HY9vPoHbgaI_2,1,D
Q1_HY9vPoHbgaI_3,1,D
Q1_IH2KrGjKXw0_3,1,D
Q1_Ie5koh4qvJc_12,1,D
Q1_Ie5koh4qvJc_6,1,D
Q1_J6X3rVU1H-c_1,1,D
Q1_J6X3rVU1H-c_2,1,D
Q1_JT1XJnVmABo_2,1,A
Q1_JT1XJnVmABo_3,1,A
Q1_JT1XJnVmABo_4,1,A
Q1_JT1XJnVmABo_5,1,A
Q1_JYVXM0qNQAg_0,1,D
Q1_JYVXM0qNQAg_2,1,D
Q1_Jn9r0avp0fY_0,1,D
Q1_Jn9r0avp0fY_1,1,D
Q1_Jn9r0avp0fY_2,1,D
Q1_Jn9r0avp0fY_3,1,D
Q1_K6OFDxBU370_0,1,D
Q1_K6OFDxBU370_1,1,D
Q1_KxlqB3j0zys_0,1,D
Q1_KxlqB3j0zys_1,1,D
Q1_NGE9ynTJABg_0,1,D
Q1_NGE9ynTJABg_1,1,D
Q1_NGE9ynTJABg_2,1,D
Q1_NP0lwB-_-og_1,1,D
Q1_POaIGvLsp5M_0,1,D
Q1_POaIGvLsp5M_1,1,D
Q1_PdwxeMPXOCk_0,1,C
Q1_PdwxeMPXOCk_1,1,C
Q1_PdwxeMPXOCk_2,1,C
Q1_QwsQ8ejbMKg_0,1,D
Q1_QwsQ8ejbMKg_1,1,D
Q1_RaUSISlnhKw_0,1,D
Q1_RaUSISlnhKw_1,1,D
Q1_RaUSISlnhKw_2,1,D
Q1_SQDuF0qxGQw_0,1,D
Q1_SQDuF0qxGQw_1,1,D
Q1_SQDuF0qxGQw_2,1,D
Q1_SlsXsqotUis_0,1,D
Q1_T92R7xjce34_1,1,A
Q1_TNoaOTrTkTQ_0,1,C
Q1_TNoaOTrTkTQ_1,1,C
Q1_TNoaOTrTkTQ_2,1,C
Q1_UJcnNfeCN1c_2,1,D
Q1_UJcnNfeCN1c_3,1,D
Q1_UOSlDydo94E_0,1,D
Q1_UOSlDydo94E_1,1,D
Q1_UOSlDydo94E_2,1,D
Q1_UYh88SRZC24_0,1,D
Q1_UYh88SRZC24_1,1,D
Q1_V3Y9L4UOcpk_2,1,D
Q1_VXgRfsVd_o0_0,1,D
Q1_VXgRfsVd_o0_1,1,D
Q1_VXgRfsVd_o0_2,1,D
Q1_WpZ1rWHOCAQ_0,1,D
Q1_WpZ1rWHOCAQ_1,1,D
Q1_WpZ1rWHOCAQ_2,1,D
Q1_Wy2-my19YnY_0,1,D
Q1_Wy2-my19YnY_1,1,D
Q1_XC_SiJszQx0_3,1,D
Q1_Xsn9zT-05ns_0,1,D
Q1_Xsn9zT-05ns_1,1,D
Q1_Y5JcZQ0xg4Y_0,1,D
Q1_Y5JcZQ0xg4Y_1,1,D
Q1_Y5JcZQ0xg4Y_2,1,D
Q1_Y5JcZQ0xg4Y_3,1,D
Q1_ZgT7yq2jsBk_0,1,D
Q1__8v0MFBZoco_0,1,D
Q1__8v0MFBZoco_1,1,D
Q1__BK2o77sTc0_0,1,D
Q1__BK2o77sTc0_1,1,D
Q1__SJQaaRzD-A_0,1,D
Q1__SJQaaRzD-A_1,1,D
Q1__kJtgm1OUNA_0,1,D
Q1__kJtgm1OUNA_1,1,D
Q1__kJtgm1OUNA_2,1,D
Q1_aYe-2Glruu4_0,1,D
Q1_aYe-2Glruu4_1,1,D
Q1_aYe-2Glruu4_3,1,D
Q1_aYe-2Glruu4_4,1,D
Q1_bIx4DwkZxFY_0,1,C
Q1_bIx4DwkZxFY_1,1,C
Q1_bIx4DwkZxFY_2,1,C
Q1_bQS8eAXAhyE_0,1,D
Q1_bQS8eAXAhyE_1,1,D
Q1_bQS8eAXAhyE_2,1,D
Q1_biROWEwkDQQ_3,1,D
Q1_cB-Xh8H_7-Q_0,1,D
Q1_dfNdpy8TUzA_0,1,D
Q1_dfNdpy8TUzA_1,1,D
Q1_dfNdpy8TUzA_2,1,D
Q1_doM_LWo-74A_0,1,D
Q1_doM_LWo-74A_1,1,D
Q1_doM_LWo-74A_2,1,D
Q1_doM_LWo-74A_3,1,D
Q1_doM_LWo-74A_4,1,D
Q1_e838BE_MH6s_1,1,D
Q1_e838BE_MH6s_2,1,D
Q1_e838BE_MH6s_3,1,D
Q1_e838BE_MH6s_4,1,D
Q1_e8NQ2NH0nc8_0,1,D
Q1_e8NQ2NH0nc8_1,1,D
Q1_eVMSeElk81Q_0,1,D
Q1_eVMSeElk81Q_1,1,D
Q1_eVMSeElk81Q_2,1,D
Q1_fey-8bOR95E_0,1,D
Q1_fey-8bOR95E_1,1,D
Q1_fey-8bOR95E_2,1,D
Q1_fey-8bOR95E_3,1,D
Q1_gSwv8hZGM-s_0,1,C
Q1_gSwv8hZGM-s_1,1,C
Q1_gwmVjvR-sVs_0,1,D
Q1_gwmVjvR-sVs_1,1,D
Q1_iFgSjUqI7iM_0,1,A
Q1_iFgSjUqI7iM_1,1,A
